ds,yhat
2014-07-11,66.43820224211075
2014-07-12,117.9444161080931
2014-07-13,72.44876376361574
2014-07-14,43.94795754688418
2014-07-15,40.98618287280918
2014-07-16,64.43770590174465
2014-07-17,48.04962218693109
2014-07-18,58.8879477527466
2014-07-19,109.21717739184052
2014-07-20,62.48291251234807
2014-07-21,32.730260624078255
2014-07-22,28.55248306422566
2014-07-23,50.872149834919696
2014-07-24,33.482468369670364
2014-07-25,43.4920268631479
2014-07-26,93.20311394157176
2014-07-27,46.093250811864436
2014-07-28,16.232667672647914
2014-07-29,12.232225784410652
2014-07-30,35.02406329490088
2014-07-31,18.402644780112063
2014-08-01,29.4694618513931
2014-08-02,80.51154673178046
2014-08-03,34.98342848488419
2014-08-04,6.998660405609009
2014-08-05,5.058353284887325
2014-08-06,30.05306398559548
